,hwd,pronSampa,ipa,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette
4529,incompetency,i n k A m p @ t @ n s i:,inkɑmpətənsiː,5,incŏʹmpĕtency,L.,,,n.,71.0,115,incompetency
4530,incompetent,i n k A m p @ t @ n t,inkɑmpətənt,4,incŏʹmpĕtent,L.,,,a.,72.0,115,incompetent
4531,incomplete,i n k @ m p l i: t,inkəmpliːt,3,incŏmplēʹte,L.,,,a.,73.0,115,incomplete
4532,incomprehensible,i N k A m p r\ @ h E n s i b @ l,iŋkɑmpɹəhɛnsibəl,6,incŏmprĕhĕʹnsĭble,L.,,,a.,2.0,116,incomprehensible
4533,inconceivable,I n k @ n s i: v @ b @ l,ɪnkənsiːvəbəl,5,incŏnceiʹvable,F.,,,a.,3.0,116,inconceivable
4534,incongruity,I N k O: N r\ u i 4 i:,ɪŋkOːŋɹuiɾiː,5,incŏngrūʹĭty,L.,,,n.,5.0,116,incongruity
4535,incongruous,i N k O: N r\ u @ s,iŋkOːŋɹuəs,4,incŏʹngrū_o_us,,,,a.,6.0,116,incongruous
4536,inconsiderable,I n k @ n s I 4 3:r @ b @ l,ɪnkənsɪɾɜ:rəbəl,6,incŏnsĭʹdĕrable,,,,a.,8.0,116,inconsiderable
4537,inconsistent,I n k @ n s I s t @ n t,ɪnkənsɪstənt,4,incŏnsĭʹſtent,,,,a.,12.0,116,inconsistent
4538,inconsolable,I n k @ n s A l @ b @ l,ɪnkənsɑləbəl,5,incŏnſōʹlable,L.,,,a.,13.0,116,inconsolable
4539,inconstancy,i n k A n s t @ n s i:,inkɑnstənsiː,4,incŏʹnſtăncy,,,,n.,14.0,116,inconstancy
4540,incontinent,i n k A n t @ n @ n t,inkɑntənənt,4,incŏʹntĭnent,L.,,,a.,17.0,116,incontinent
4541,inconvenience,I n k @ n v i: n j @ n s,ɪnkənviːnjəns,5,incŏnvĕʹnĭĕnce,,,,n.,18.0,116,inconvenience
4542,incorporate,i n k O: r\ p 3:r eI t,inkOːɹpɜ:r?t,4,incŏʹrpŏrāte,L.,,,v.,21.0,116,incorporate
4543,incorrect,i n k 3:r E k t,inkɜ:rɛkt,3,incŏrrĕʹct,L.,,,a.,23.0,116,incorrect
4544,incorrigible,i n k A r\ @ dZ @ b @ l,inkɑɹə?əbəl,5,incŏʹrrĭgĭble,L.,,,a.,24.0,116,incorrigible
4545,increase,i n k r\ i: s,inkɹiːs,2,increaʹſe,,,,v.,29.0,116,increase
4546,incredible,i n k r\ E 4 @ b @ l,inkɹɛɾəbəl,4,incrĕʹdĭble,L.,,,a.,31.0,116,incredible
4547,incredulity,I n k r\ @ d u l i 4 i:,ɪnkɹəduliɾiː,5,incredūʹlĭty,L.,,,n.,33.0,116,incredulity
4548,incredulous,i n k r\ E dZ @ l @ s,inkɹɛ?ələs,4,incrĕʹdūl_o_us,,,,a.,34.0,116,incredulous
4549,increment,I n k r\ @ m @ n t,ɪnkɹəmənt,3,iʹncrĕment,L.,,,n.,35.0,116,increment
4550,incrustation,I n k r\ @ s t eI S @ n,ɪnkɹəst?ʃən,5,incrŭſtāʹtion,L.,,,n.,37.0,116,incrustation
4551,incubation,I N k j u b eI S @ n,ɪŋkjub?ʃən,5,incūbāʹtion,L.,,,n.,39.0,116,incubation
4552,inculcate,I N k @ l k eI t,ɪŋkəlk?t,3,incŭʹlcāte,L.,,,v.,41.0,116,inculcate
4553,incumbent,i n k V m b @ n t,inkʌmbənt,3,incŭʹmbĕnt,,,,n.,44.0,116,incumbent
4554,incur,i n k 3:r,inkɜ:r,2,incŭʹr,,,,v.,47.0,116,incur
4555,incurable,i n k j U r\ @ b @ l,inkjʊɹəbəl,4,incūʹrable,,,,a.,48.0,116,incurable
4556,incursion,i n k 3:r Z @ n,inkɜ:rʒən,4,incŭʹrſion,L.,,,n.,50.0,116,incursion
4557,indebted,i n d E 4 @ d,indɛɾəd,3,indĕʹ_b_ted,F.,,,a.,55.0,116,indebted
4558,indecency,i n d i: s @ n s i:,indiːsənsiː,4,indĕʹcĕncy,L.,,,n.,56.0,116,indecency
4559,indecent,i n d i: s @ n t,indiːsənt,3,indĕʹcent,,,,a.,57.0,116,indecent
4560,indefatigable,I n d i f { 4 i g @ b @ l,ɪndifæɾigəbəl,6,indefăʹtĭgable,,,,a.,60.0,116,indefatigable
4561,indefinite,i n d E f @ n @ t,indɛfənət,4,indĕʹfĭnĭte,L.,,,a.,63.0,116,indefinite
4562,indelible,i n d E l i b @ l,indɛlibəl,4,indēʹlĭble,L.,,,a.,64.0,116,indelible
4563,indemnify,i n d E m n @ f aI,indɛmnəf?,4,indĕʹmnĭfy,,,,v.,65.0,116,indemnify
4564,indemnity,i n d E m n @ 4 i:,indɛmnəɾiː,4,indĕʹmnĭty,F.,,,n.,66.0,116,indemnity
4565,indent,i n d E n t,indɛnt,2,indĕʹnt,F.,,,v.,68.0,116,indent
4566,indenture,i n d E n tS 3:r,indɛn?ɜ:r,3,indĕʹntŭre,,,,n.,69.0,116,indenture
4567,independent,I n d i p E n d @ n t,ɪndipɛndənt,4,indepĕʹndent,,,,a.,70.0,116,independent
4568,indeterminate,I n d i t 3:r m i n i t,ɪnditɜ:rminit,5,indetĕʹrmĭnāte,L.,,,a.,71.0,116,indeterminate
4569,index,I n d E k s,ɪndɛks,2,iʹndex,L.,,,n.,73.0,116,index
4570,indian,I n d i: @ n,ɪndiːən,3,iʹndĭan,,,,n.,74.0,116,indian
4571,indicate,I n d @ k eI t,ɪndək?t,3,iʹndĭcāte,,,,v.,2.0,117,indicate
4572,indication,I n d @ k eI S @ n,ɪndək?ʃən,5,indĭcāʹtion,L.,,,n.,3.0,117,indication
4573,indicative,i n d I k @ 4 i v,indɪkəɾiv,4,indĭʹcătive,,,,n.,4.0,117,indicative
4574,indict,i n d aI t,ind?t,2,indīʹ_c_t,L.,,,v.,6.0,117,indict
4575,indictment,i n d aI t m @ n t,ind?tmənt,3,indīʹ_c_tment,,,,n.,9.0,117,indictment
4576,indifference,i n d I f 3:r @ n s,indɪfɜ:rəns,4,indĭʹffĕrĕnce,L.,,,n.,10.0,117,indifference
4577,indifferent,i n d I f r\ @ n t,indɪfɹənt,4,indĭʹffĕrent,,,,a.,11.0,117,indifferent
4578,indigent,I n d i dZ @ n t,ɪndi?ənt,3,iʹndĭgent,L.,,,a.,13.0,117,indigent
4579,indigestible,I n d aI dZ E s t @ b @ l,ɪnd??ɛstəbəl,5,indĭgĕʹſtĭble,L.,,,a.,15.0,117,indigestible
4580,indigestion,I n d aI dZ E s tS @ n,ɪnd??ɛs?ən,5,indĭgĕʹſtion,L.,,,n.,16.0,117,indigestion
4581,indignant,i n d I g n @ n t,indɪgnənt,3,indĭʹgnant,L.,,,a.,17.0,117,indignant
4582,indignation,I n d i g n eI S @ n,ɪndign?ʃən,5,indĭgnāʹtion,,,,n.,18.0,117,indignation
4583,indignity,i n d I g n @ 4 i:,indɪgnəɾiː,4,indĭʹgnĭty,,,,n.,19.0,117,indignity
4584,indigo,I n d @ g @U,ɪndəgoʊ,3,iʹndĭgo,,,,n.,20.0,117,indigo
4585,indirect,i n d 3:r E k t,indɜ:rɛkt,3,indīrĕʹct,,,,a.,21.0,117,indirect
4586,indiscreet,i n d i s k r\ i: t,indiskɹiːt,3,indĭſcreeʹt,L.,,,a.,24.0,117,indiscreet
4587,indiscretion,I n d i s k r\ E S @ n,ɪndiskɹɛʃən,5,indĭſcrĕʹtion,,,,n.,25.0,117,indiscretion
4588,indiscriminate,i n d i s k r\ I m @ n @ t,indiskɹɪmənət,5,indĭſcrĭʹmĭnāte,L.,,,a.,26.0,117,indiscriminate
4589,indispensable,I n d i s p E n s @ b @ l,ɪndispɛnsəbəl,5,indĭſpĕnſable,,nbSyll>1 et pas d'accent tonic,,a.,27.0,117,indispensable
4590,indisputable,I n d i s p j u 4 @ b @ l,ɪndispjuɾəbəl,5,indĭſpūtable,L.,nbSyll>1 et pas d'accent tonic,,a.,31.0,117,indisputable
4591,indistinct,i n d i s t I N k t,indistɪŋkt,3,indĭſtĭʹnct,L.,,,a.,34.0,117,indistinct
4592,indistinguishable,i n d i s t I N g w i S @ b @ l,indistɪŋgwiʃəbəl,6,indĭſtĭnguĭſhable,,nbSyll>1 et pas d'accent tonic,,a.,35.0,117,indistinguishable
4593,indite,i n d aI t,ind?t,2,indīʹte,,,,v.,36.0,117,indite
4594,individual,I n d @ v I dZ @ w @ l,ɪndəvɪ?əwəl,5,indĭvĭʹdūal,L.,,,a.,37.0,117,individual
4595,indivisibility,I n d i v I z @ b I l @ 4 i:,ɪndivɪzəbɪləɾiː,7,indĭvĭsĭbĭʹlĭty,L.,,,n.,38.0,117,indivisibility
4596,indivisible,I n d i v I s i b @ l,ɪndivɪsibəl,5,indĭvĭʹsĭble,L.,,,a.,39.0,117,indivisible
4597,indolent,I n d @ l @ n t,ɪndələnt,3,iʹndŏlent,L.,,,a.,42.0,117,indolent
4598,indubitable,i n d u b I 4 @ b @ l,indubɪɾəbəl,5,indūʹbĭtable,L.,,,a.,47.0,117,indubitable
4599,induce,i n d u s,indus,2,indūʹce,,,,v.,48.0,117,induce
4600,inducement,i n d u s m @ n t,indusmənt,3,indūʹc_e_ment,,,,n.,49.0,117,inducement
4601,inducted,i n d V k t @ d,indʌktəd,3,indŭʹcted,,,,a.,50.0,117,inducted
4602,induction,i n d V k S @ n,indʌkʃən,4,indŭʹctíon,L.,,,n.,51.0,117,induction
4603,indulge,i n d V l dZ,indʌl?,2,indŭʹlge,L.,,,v.,53.0,117,indulge
4604,indulgence,i n d V l dZ @ n s,indʌl?əns,3,indŭʹlgĕnce,L.,,,n.,54.0,117,indulgence
4605,industrious,i n d V s t r\ i: @ s,indʌstɹiːəs,4,indŭʹſtrĭ_o_us,L.,,,a.,60.0,117,industrious
4606,industry,I n d @ s t r\ i:,ɪndəstɹiː,3,iʹndŭſtry,L.,,,n.,61.0,117,industry
4607,ineffable,i n E f @ b @ l,inɛfəbəl,4,inĕʹffable,L.,,,a.,63.0,117,ineffable
4608,ineffective,i n i f E k t i v,inifɛktiv,4,inĕffĕʹctive,,,,a.,64.0,117,ineffective
4609,inept,i n E p t,inɛpt,2,inĕʹpt,L.,,,a.,66.0,117,inept
4610,ineptitude,i n E p t i t u d,inɛptitud,4,inĕʹptĭtūde,L.,,,n.,67.0,117,ineptitude
4611,inequality,I n i k w A l @ 4 i:,ɪnikwɑləɾiː,5,inĕquăʹlĭty,L.,,,n.,68.0,117,inequality
4612,inert,i n 3:r t,inɜ:rt,2,ineʹrt,,,,a.,70.0,117,inert
4613,inevitable,i n E v @ 4 @ b @ l,inɛvəɾəbəl,5,inĕʹvĭtable,,,,a.,72.0,117,inevitable
4614,inexcusable,i n i k s k j u z @ b @ l,inikskjuzəbəl,5,inĕxcūʹſable,,,,a.,73.0,117,inexcusable
4615,inexhaustible,i n i g z O: s t @ b @ l,inigzOːstəbəl,5,inĕxhauʹſtĭble,L.,,,a.,2.0,118,inexhaustible
4616,inexorable,I n E k s 3:r @ b @ l,ɪnɛksɜ:rəbəl,5,inĕʹxŏrable,L.,,,a.,3.0,118,inexorable
4617,inexperience,I n i k s p I r\ i: @ n s,ɪnikspɪɹiːəns,5,inĕxpĕʹrĭence,L.,,,n.,5.0,118,inexperience
4618,infallibility,i n f { l i b I l i 4 i:,infælibɪliɾiː,6,infallĭbĭʹlĭty,L.,,,a.,14.0,118,infallibility
4619,infallible,i n f { l @ b @ l,infæləbəl,4,infăʹllĭble,L.,,,a.,15.0,118,infallible
4620,infamous,I n f @ m @ s,ɪnfəməs,3,iʹnfăm_o_us,L.,,,a.,16.0,118,infamous
4621,infamy,I n f @ m i:,ɪnfəmiː,3,iʹnfămy,L.,,,n.,17.0,118,infamy
4622,infancy,I n f @ n s i:,ɪnfənsiː,3,iʹnfăncy,L.,,,n.,18.0,118,infancy
4623,infant,I n f @ n t,ɪnfənt,2,iʹnfănt,L.,,,n.,19.0,118,infant
4624,infante,i n f A n t eI,infɑnt?,3,infăʹntè,,,,n.,21.0,118,infante
4625,infantry,I n f @ n t r\ i:,ɪnfəntɹiː,3,iʹnfăntry,F.,,,n.,22.0,118,infantry
4626,infatuate,i n f { tS u eI t,infæ?u?t,4,infăʹtūāte,L.,,,v.,23.0,118,infatuate
4627,infatuation,i n f { tS u eI S @ n,infæ?u?ʃən,6,infătūāʹtion,L.,,,n.,24.0,118,infatuation
4628,infect,i n f E k t,infɛkt,2,infĕʹct,L.,,,v.,25.0,118,infect
4629,infection,i n f E k S @ n,infɛkʃən,4,infĕʹction,,,,n.,26.0,118,infection
4630,infectious,i n f E k S @ s,infɛkʃəs,4,infĕʹctious,,,,a.,27.0,118,infectious
4631,infer,i n f 3:r,infɜ:r,2,infĕʹr,,,,v.,32.0,118,infer
4632,inference,I n f 3:r @ n s,ɪnfɜ:rəns,3,iʹnfĕrĕnce,L.,,,n.,33.0,118,inference
4633,inferior,i n f I r\ i: 3:r,infɪɹiːɜ:r,4,infēʹrĭor,L.,,,n.,34.0,118,inferior
4634,inferiority,I n f i r\ i: O: r\ i 4 i:,ɪnfiɹiːOːɹiɾiː,6,infērĭŏʹrĭty,,,,n.,35.0,118,inferiority
4635,infernal,i n f 3:r n @ l,infɜ:rnəl,3,infĕʹrnal,L.,,,a.,37.0,118,infernal
4636,infertile,i n f 3:r 4 @ l,infɜ:rɾəl,3,infĕʹrtĭle,L.,,,a.,38.0,118,infertile
4637,infest,i n f E s t,infɛst,2,infĕʹſt,,,,v.,39.0,118,infest
4638,infidel,I n f i d E l,ɪnfidɛl,3,iʹnfĭdel,L.,,,n.,40.0,118,infidel
4639,infidelity,I n f i d E l i 4 i:,ɪnfidɛliɾiː,5,infĭdĕʹlĭty,L.,,,n.,41.0,118,infidelity
4640,infinite,I n f @ n @ t,ɪnfənət,3,iʹnfĭnĭte,L.,,,a.,42.0,118,infinite
4641,infinitive,i n f I n i 4 i v,infɪniɾiv,4,infĭʹnĭtive,,,,n.,44.0,118,infinitive
4642,infirm,i n f 3:r m,infɜ:rm,2,infĭrm,F.,nbSyll>1 et pas d'accent tonic,,a.,45.0,118,infirm
4643,infirmary,i n f 3:r m 3:r i:,infɜ:rmɜ:riː,4,infĭʹrmăry,F.,,,n.,46.0,118,infirmary
4644,infirmity,i n f 3:r m i 4 i:,infɜ:rmiɾiː,4,infĭrmĭty,F.,nbSyll>1 et pas d'accent tonic,,n.,47.0,118,infirmity
4645,inflame,i n f l eI m,infl?m,2,inflāʹme,,,,v.,49.0,118,inflame
4646,inflammable,i n f l { m @ b @ l,inflæməbəl,4,inflăʹmmable,,,,a.,51.0,118,inflammable
4647,inflammation,I n f l @ m eI S @ n,ɪnfləm?ʃən,5,inflămmāʹtion,F.,,,n.,50.0,118,inflammation
4648,inflation,i n f l eI S @ n,infl?ʃən,4,inflāʹtion,,,,n.,53.0,118,inflation
4649,inflection,i n f l E k S @ n,inflɛkʃən,4,inflĕʹction,L.,,,n.,54.0,118,inflection
4650,inflexibility,i n f l E k s i b I l i 4 i:,inflɛksibɪliɾiː,6,inflĕxĭbĭʹlĭty,,,,n.,55.0,118,inflexibility
4651,inflexible,i n f l E k s @ b @ l,inflɛksəbəl,4,inflĕʹxĭble,L.,,,a.,56.0,118,inflexible
4652,inflict,i n f l I k t,inflɪkt,2,inflĭʹct,L.,,,v.,57.0,118,inflict
4653,infliction,i n f l I k S @ n,inflɪkʃən,4,inflĭʹction,L.,,,n.,58.0,118,infliction
4654,influence,I n f l u @ n s,ɪnfluəns,3,iʹnflūĕnce,,,,v.,59.0,118,influence
4655,influx,I n f l V k s,ɪnflʌks,2,iʹnflŭx,L.,,,n.,60.0,118,influx
4656,inform,i n f O: r\ m,infOːɹm,2,infŏʹrm,L.,,,v.,63.0,118,inform
4657,information,I n f 3:r m eI S @ n,ɪnfɜ:rm?ʃən,5,infŏrmāʹtion,L.,,,n.,64.0,118,information
4658,informer,i n f O: r\ m 3:r,infOːɹmɜ:r,3,infŏʹrmer,,,,n.,65.0,118,informer
4659,infraction,i n f r\ { k S @ n,infɹækʃən,4,infraʹction,L.,,,n.,67.0,118,infraction
4660,infringe,i n f r\ I n dZ,infɹɪn?,2,infrĭʹnge,L.,,,v.,70.0,118,infringe
4661,infringement,i n f r\ I n dZ m @ n t,infɹɪn?mənt,3,infrĭʹng_e_ment,,,,n.,71.0,118,infringement
4662,infuse,i n f j u z,infjuz,2,infūʹſe,L.,,,v.,72.0,118,infuse
4663,infusion,i n f j u Z @ n,infjuʒən,4,infūʹſion,,,,n.,2.0,119,infusion
4664,ingenious,i n dZ i: n j @ s,in?iːnjəs,4,ingĕʹnĭ_o_us,,,,a.,6.0,119,ingenious
4665,ingenuity,i n dZ @ n u @ 4 i:,in?ənuəɾiː,5,ingĕnūʹĭty,L.,,,n.,7.0,119,ingenuity
4666,ingenuous,i n dZ E n j u @ s,in?ɛnjuəs,4,ingĕʹnū_o_us,L.,,,a.,8.0,119,ingenuous
4667,inglorious,i n g l O: r\ i: @ s,inglOːɹiːəs,4,inglōʹrĭ_o_us,L.,,,a.,9.0,119,inglorious
4668,ingot,I N g @ t,ɪŋgət,2,iʹngot,,,,n.,10.0,119,ingot
4669,ingratiate,i N g r\ eI S i: eI t,iŋgɹ?ʃiː?t,4,ingrāʹtiate,L.,,,v.,14.0,119,ingratiate
4670,ingredient,i n g r\ i: 4 i: @ n t,ingɹiːɾiːənt,4,ingrĕʹdĭent,L.,,,n.,16.0,119,ingredient
4671,inhabit,i n h { b @ t,inhæbət,3,inhăʹbit,L.,,,v.,21.0,119,inhabit
4672,inhabitant,i n h { b @ t @ n t,inhæbətənt,4,inhăʹbĭtant,L.,,,n.,23.0,119,inhabitant
4673,inherent,i n h I r\ @ n t,inhɪɹənt,3,inhēʹrent,F.,,,a.,25.0,119,inherent
4674,inherit,i n h E r\ @ t,inhɛɹət,3,inhĕʹrit,,,,v.,26.0,119,inherit
4675,inheritance,i n h E r\ @ t @ n s,inhɛɹətəns,4,inhĕʹrĭtănce,,,,n.,27.0,119,inheritance
4676,inheritor,i n h E r\ @ 4 3:r,inhɛɹəɾɜ:r,4,inhĕʹrĭtor,,,,n.,28.0,119,inheritor
4677,inhibit,i n h I b @ t,inhɪbət,3,inhĭʹbĭt,L.,,,v.,31.0,119,inhibit
4678,inhibition,I n h @ b I S @ n,ɪnhəbɪʃən,5,inhĭbĭʹtion,,,,n.,32.0,119,inhibition
4679,inhospitable,i n h A s p @ 4 @ b @ l,inhɑspəɾəbəl,5,inhŏʹſpĭtable,L.,,,a.,33.0,119,inhospitable
4680,inhuman,i n h j u m @ n,inhjumən,3,inhūʹman,,,,a.,34.0,119,inhuman
4681,inimitable,i n I m i 4 @ b @ l,inɪmiɾəbəl,5,inĭʹmĭtable,L.,,,a.,38.0,119,inimitable
4682,iniquitous,i n I k w @ t @ s,inɪkwətəs,4,inĭʹquĭt_o_us,,,,a.,41.0,119,iniquitous
4683,initial,i n I S @ l,inɪʃəl,4,inĭʹtial,L.,,,a.,43.0,119,initial
4684,initiate,i n I S i: eI t,inɪʃiː?t,4,inĭʹtiāte,L.,,,v.,44.0,119,initiate
4685,initiation,i n I S i: eI S @ n,inɪʃiː?ʃən,6,inĭtiāʹtion,L.,,,n.,45.0,119,initiation
4686,inject,i n dZ E k t,in?ɛkt,2,injĕʹct,L.,,,v.,36.0,119,inject
4687,injection,i n dZ E k S @ n,in?ɛkʃən,4,injĕʹction,,,,n.,37.0,119,injection
4688,injudicious,i n dZ V d I S @ s,in?ʌdɪʃəs,5,injūdĭʹcĭ_o_us,F.,,,a.,46.0,119,injudicious
4689,injunction,i n dZ V N k S @ n,in?ʌŋkʃən,4,injŭʹnction,F.,,,n.,47.0,119,injunction
4690,injure,I n dZ 3:r,ɪn?ɜ:r,2,injŭre,L.,nbSyll>1 et pas d'accent tonic,,v.,48.0,119,injure
4691,injurious,i n dZ U r\ i: @ s,in?ʊɹiːəs,4,injūʹrĭ_o_us,L.,,,a.,49.0,119,injurious
4692,injury,I n dZ 3:r i:,ɪn?ɜ:riː,3,iʹnjŭry,L.,,,n.,50.0,119,injury
4693,injustice,i n dZ V s t i s,in?ʌstis,3,injŭʹſtice,,,,n.,51.0,119,injustice
4694,ink,I N k,ɪŋk,1,ĭnk,,,,n.,52.0,119,ink
4695,inky,I N k i:,ɪŋkiː,2,ĭʹnky,,,,a.,55.0,119,inky
4696,inland,I n l { n d,ɪnlænd,2,iʹnlănd,,,,a.,56.0,119,inland
4697,inlay,I n l eI,ɪnl?,2,inlaʹy,,,,v.,58.0,119,inlay
4698,inlet,I n l E t,ɪnlɛt,2,iʹnlet,,,,n.,59.0,119,inlet
4699,inmate,I n m eI t,ɪnm?t,2,iʹnmāte,,,,n.,63.0,119,inmate
4700,inmost,I n m @U s t,ɪnmoʊst,2,iʹnmoſt,,,,a.,64.0,119,inmost
4701,inn,I n,ɪn,1,inn,,,,n.,65.0,119,inn
4702,innate,i n eI t,in?t,2,innāʹte,,,,a.,66.0,119,innate
4703,innocence,I n @ s @ n s,ɪnəsəns,3,iʹnnŏcĕnce,L.,,,n.,67.0,119,innocence
4704,innocent,I n @ s @ n t,ɪnəsənt,3,iʹnnŏcĕnt,L.,,,a.,68.0,119,innocent
4705,innovate,I n @ v eI t,ɪnəv?t,3,iʹnnŏvāte,L.,,,v.,69.0,119,innovate
4706,innovation,I n @ v eI S @ n,ɪnəv?ʃən,5,innŏvāʹtion,L.,,,n.,70.0,119,innovation
4707,innovator,I n @ v eI 4 3:r,ɪnəv?ɾɜ:r,4,innŏvāʹtor,,,,n.,71.0,119,innovator
4708,innuendo,i n j u E n d @U,injuɛndoʊ,4,innūĕʹndo,,,,n.,72.0,119,innuendo
4709,innumerable,i n u m 3:r @ b @ l,inumɜ:rəbəl,5,innūmĕrable,,nbSyll>1 et pas d'accent tonic,,a.,73.0,119,innumerable
4710,inoculation,i n A k j @ l eI S @ n,inɑkjəl?ʃən,6,inŏcūlāʹtion,,,,n.,3.0,120,inoculation
4711,inoffensive,i n @ f E n s i v,inəfɛnsiv,4,inŏffĕʹnſive,F.,,,a.,4.0,120,inoffensive
4712,inordinate,i n O: r\ d @ n i t,inOːɹdənit,4,inŏʹrdĭnāte,L.,,,a.,5.0,120,inordinate
4713,inquest,I n k w E s t,ɪnkwɛst,2,iʹnqueſt,,,,n.,7.0,120,inquest
4714,inquire,i n k w aI r\,inkw?ɹ,2,inquīre,L.,nbSyll>1 et pas d'accent tonic,,v.,9.0,120,inquire
4715,inquiry,i n k w aI r\ i:,inkw?ɹiː,3,inquīʹry,L.,,,n.,10.0,120,inquiry
4716,inquisition,I n k w @ z I S @ n,ɪnkwəzɪʃən,5,inquĭsĭʹtion,,,,n.,11.0,120,inquisition
4717,inquisitive,i n k w I z i 4 i v,inkwɪziɾiv,4,inquĭʹsĭʹtive,,,,a.,12.0,120,inquisitive
4718,inroad,I n r\ @U d,ɪnɹoʊd,2,iʹnroad,,,,n.,16.0,120,inroad
4719,insane,i n s eI n,ins?n,2,insāʹne,L.,,,n.,19.0,120,insane
4720,insatiable,i n s eI S @ b @ l,ins?ʃəbəl,5,insăʹtiable,,,,a.,20.0,120,insatiable
4721,inscription,i n s k r\ I p S @ n,inskɹɪpʃən,4,inſcrĭʹption,,,,n.,23.0,120,inscription
4722,inscrutable,i n s k r\ u 4 @ b @ l,inskɹuɾəbəl,4,inſcrūʹtable,L.,,,a.,24.0,120,inscrutable
4723,insect,I n s E k t,ɪnsɛkt,2,iʹnsĕct,L.,,,a.,25.0,120,insect
4724,insecure,I n s @ k j 3:r,ɪnsəkjɜ:r,3,inſĕcūʹre,L.,,,a.,26.0,120,insecure
4725,insensible,i n s E n s @ b @ l,insɛnsəbəl,4,inſĕʹnsĭble,L.,,,a.,28.0,120,insensible
4726,inseparable,i n s E p 3:r @ b @ l,insɛpɜ:rəbəl,5,insĕʹpărable,L.,,,a.,29.0,120,inseparable
4727,insert,i n s 3:r t,insɜ:rt,2,insĕʹrt,L.,,,v.,30.0,120,insert
4728,insertion,i n s 3:r S @ n,insɜ:rʃən,4,insĕʹrtion,,,,n.,31.0,120,insertion
4729,insidious,i n s I 4 i: @ s,insɪɾiːəs,4,insĭʹdĭ_o_us,L.,,,a.,32.0,120,insidious
4730,insight,I n s aI t,ɪns?t,2,iʹnsīght,L.,,,n.,33.0,120,insight
4731,insignificant,I n s i g n j I f i k @ n t,ɪnsignjɪfikənt,5,insĭgnĭfĭcant,L.,nbSyll>1 et pas d'accent tonic,,a.,34.0,120,insignificant
4732,insinuate,i n s I n j u eI t,insɪnju?t,4,insĭʹnūāte,L.,,,v.,35.0,120,insinuate
4733,insinuation,i n s I n j u eI S @ n,insɪnju?ʃən,6,insĭnūāʹtion,L.,,,n.,36.0,120,insinuation
4734,insist,i n s I s t,insɪst,2,insĭʹſt,,,,v.,38.0,120,insist
4735,insolent,I n s @ l @ n t,ɪnsələnt,3,iʹnsŏlent,,,,a.,42.0,120,insolent
4736,insolvency,i n s A l v @ n s i:,insɑlvənsiː,4,insŏʹlvĕncy,F.,,,n.,43.0,120,insolvency
4737,insolvent,i n s A l v @ n t,insɑlvənt,3,insŏʹlvĕnt,,,,a.,44.0,120,insolvent
4738,inspect,i n s p E k t,inspɛkt,2,inſpĕʹct,L.,,,v.,45.0,120,inspect
4739,inspection,i n s p E k S @ n,inspɛkʃən,4,inſpĕʹction,L.,,,n.,46.0,120,inspection
4740,inspector,i n s p E k t 3:r,inspɛktɜ:r,3,inſpĕʹct_o_r,L.,,,n.,47.0,120,inspector
4741,inspiration,I n s p 3:r eI S @ n,ɪnspɜ:r?ʃən,5,inſpĭrăʹtion,L.,,,n.,48.0,120,inspiration
4742,inspire,i n s p aI r\,insp?ɹ,2,inſpīʹre,L.,,,v.,49.0,120,inspire
4743,instability,I n s t @ b I l i 4 i:,ɪnstəbɪliɾiː,5,inſtăbĭʹlĭty,L.,,,n.,52.0,120,instability
4744,instance,I n s t @ n s,ɪnstəns,2,iʹnſtănce,L.,,,n.,55.0,120,instance
4745,instant,I n s t @ n t,ɪnstənt,2,iʹnſtănt,,,,a.,56.0,120,instant
4746,instantaneous,I n s t @ n t { n i: @ s,ɪnstəntæniːəs,5,inſtăntāʹnĕ_o_us,L.,,,a.,57.0,120,instantaneous
4747,instep,I n s t E p,ɪnstɛp,2,iʹnſtĕp,,,,n.,59.0,120,instep
4748,instigate,I n s t @ g eI t,ɪnstəg?t,3,iʹnſtĭgāte,L.,,,v.,60.0,120,instigate
4749,instigation,I n s t i g eI S @ n,ɪnstig?ʃən,5,inſtĭgāʹtion,,,,n.,61.0,120,instigation
4750,instinct,I n s t i N k t,ɪnstiŋkt,2,iʹnſtĭnct,L.,,,n.,63.0,120,instinct
4751,institute,I n s t @ t u t,ɪnstətut,3,iʹnſtĭtūte,L.,,,v.,64.0,120,institute
4752,institutes,I n s t @ t u t s,ɪnstətuts,3,inſtĭtūʹtes,L.,,,n.,65.0,120,institutes
4753,institution,I n s t i t u S @ n,ɪnstituʃən,5,inſtĭtūʹtion,,,,n.,66.0,120,institution
4754,institutions,I n s t i t u S @ n z,ɪnstituʃənz,5,inſtĭtūʹtions,,,,n.,67.0,120,institutions
4755,instruct,i n s t r\ V k t,instɹʌkt,2,inſtrŭʹct,L.,,,v.,68.0,120,instruct
4756,instruction,i n s t r\ V k S @ n,instɹʌkʃən,4,inſtrŭʹction,,,,n.,69.0,120,instruction
4757,instructive,i n s t r\ V k t i v,instɹʌktiv,3,inſtrŭʹctive,,,,a.,70.0,120,instructive
4758,instrument,I n s t r\ @ m @ n t,ɪnstɹəmənt,3,inſtrūment,L.,nbSyll>1 et pas d'accent tonic,,n.,71.0,120,instrument
